"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"chil","389-2-17",5,11,8,9,0,0,0,5,28,"chil-389-2",2017
"chil","390-2-17",16,0,1,7,0,0,0,0,28,"chil-390-2",2017
"chil","393-2-17",8,0,0,3,1,0,1,0,27,"chil-393-2",2017
"chil","394-2-17",0,0,0,0,0,0,0,0,13,"chil-394-2",2017
"chil","395-2-17",0,0,0,0,0,0,0,0,28,"chil-395-2",2017
"chil","396-2-17",11,0,0,0,0,0,0,2,29,"chil-396-2",2017
"chil","397-2-17",0,6,0,0,0,0,0,0,29,"chil-397-2",2017
"chil","398-2-17",13,0,15,5,8,0,24,0,28,"chil-398-2",2017
"chil","399-2-17",6,0,0,1,0,0,2,0,28,"chil-399-2",2017
"chil","400-2-17",17,4,0,0,0,0,0,0,30,"chil-400-2",2017
"chil","401-2-17",5,1,0,1,0,0,1,0,31,"chil-401-2",2017
"chil","404-2-17",1,1,0,0,0,0,0,2,31,"chil-404-2",2017
"chil","405-2-17",6,0,3,4,0,0,0,0,28,"chil-405-2",2017
"chil","406-2-17",25,0,14,10,17,0,22,1,28,"chil-406-2",2017
"chil","407-2-17",0,0,0,0,0,1,0,0,26,"chil-407-2",2017
"chil","408-2-17",13,0,10,16,0,0,0,0,26,"chil-408-2",2017
"chil","409-2-17",12,2,16,10,22,0,14,2,26,"chil-409-2",2017
"chil","410-2-17",0,0,0,4,0,0,3,0,26,"chil-410-2",2017
"chil","411-2-17",0,0,0,0,0,0,6,0,26,"chil-411-2",2017
"chil","413-2-17",9,0,6,8,24,0,19,6,28,"chil-413-2",2017
"chil","414-2-17",17,2,0,9,10,0,13,0,30,"chil-414-2",2017
"chil","415-2-17",2,0,0,0,0,0,0,0,2,"chil-415-2",2017
"chil","417-2-17",0,0,0,0,1,0,0,0,26,"chil-417-2",2017
"chil","418-2-17",1,0,0,0,0,0,0,0,26,"chil-418-2",2017
"chil","419-2-17",10,0,0,0,0,0,0,0,28,"chil-419-2",2017
"chil","422-2-17",0,1,0,0,0,0,0,0,28,"chil-422-2",2017
"chil","423-2-17",7,0,16,2,4,0,10,10,28,"chil-423-2",2017
"chil","424-2-17",6,6,0,7,0,0,5,0,28,"chil-424-2",2017
"chil","427-2-17",5,0,0,0,0,0,0,0,28,"chil-427-2",2017
"chil","428-2-17",3,0,0,0,0,0,0,0,28,"chil-428-2",2017
"chil","429-2-17",0,0,0,0,0,0,12,2,26,"chil-429-2",2017
"chil","435-2-17",26,1,3,2,0,0,7,0,26,"chil-435-2",2017
"chil","436-2-17",7,1,4,11,5,0,2,0,26,"chil-436-2",2017
"chil","437-2-17",1,0,0,3,4,0,0,0,31,"chil-437-2",2017
"chil","438-2-17",6,0,2,0,1,0,2,0,31,"chil-438-2",2017
"chil","439-2-17",3,0,0,3,0,0,0,2,28,"chil-439-2",2017
"chil","440-2-17",0,0,0,2,0,0,2,1,13,"chil-440-2",2017
"chil","442-2-17",25,2,5,7,1,0,1,2,29,"chil-442-2",2017
"chil","443-2-17",14,0,0,19,0,0,3,0,28,"chil-443-2",2017
"chil","445-2-17",1,0,0,3,0,0,0,0,28,"chil-445-2",2017
"chil","446-2-17",2,2,0,0,0,0,0,0,23,"chil-446-2",2017
